Issue ID,Summary,Issue Type,Description,Priority,Status,Epic Name,Epic Link,Start Date,Due Date
1,Setup & Core Ecosystem Ingestion Pipeline,Epic,"Initial setup of the India Startup Ecosystem Intelligence Platform, SQLite DB schema, ingestion pipeline (scraping, cleaning, entity resolution, AI enrichment), exporter script, FastAPI routing, and basic React cyberpunk dark-mode interface.",High,Done,Ecosystem Ingestion Pipeline,,2026-06-26,2026-06-26
2,Setup Backend Framework & SQLite Database,Task,"Initialize backend framework using FastAPI, define sqlite database schemas for startups, incubators, mentors, investors, relationships, and execution logs in database.py, and setup run.py configuration.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
3,Implement Crawler & Data Cleaning Pipeline,Task,"Implement simulated crawler scraper.py to load initial raw data, and cleaner.py normalization rules for cleaning/standardizing state codes, city names, emails, and URLs.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
4,Build Entity Resolution (Deduplication) Engine,Task,"Develop entity resolution pipeline in resolution.py utilizing Jaccard string similarity, acronym matching, and short-name rules to merge duplicate startup and incubator records.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
5,Integrate AI Enrichment (Gemini API & Geocoding),Task,"Implement enricher.py integrating Google Gemini API for automated sector mapping, semantic summarization, and local lookup table matching for city coordinates geocoding.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
6,Implement Multi-Format Graph Exporters,Task,"Develop exporter module graph.py supporting output of parsed data as a zipped CSV archive, hierarchical JSON, MongoDB insertions, or Neo4j Cypher scripts.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
7,Develop Core REST APIs,Task,"Build FastAPI endpoints in main.py for pipeline run execution (/api/pipeline/run), pipeline logging (/api/pipeline/logs), database reset, directories (/api/incubators, /api/startups), and export file streaming.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
8,Initialize React Frontend Scaffold & Sidebar,Task,"Setup Vite + React web client, configure Tailwind CSS v4 and vanilla glassmorphism styles in index.css, and build sidebar dashboard shell App.jsx.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
9,Build Pipeline Control UI Panel,Task,"Create PipelineControl.jsx component showing pipeline stage execution buttons (scrape, clean, resolve, enrich) with interactive terminal log stream outputs.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
10,Build Directory Grid & Details Drawer UI,Task,"Develop DirectoryView.jsx grid showing startups/incubators with query search, sector/stage/region filters, and detailed profile slide-out drawer.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
11,Build Analytics & Metrics Dashboard UI,Task,"Develop AnalyticsDashboard.jsx UI compiling total counts, state map distributions, focus sectors, stage-wise graphs, and SVGs/CSS chart components.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
12,Build Force-Directed Network Graph Visualizer,Task,"Create GraphVisualizer.jsx rendering zoomable, draggable 2D canvas force-directed nodes showing linkages between incubators, startups, and mentors.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
13,Build Exporter and AI Assistant Panels,Task,"Develop ExporterPanel.jsx UI for downloading exports, and AiAssistant.jsx chatbot interface that interacts with FastAPI backend assistant API.",Low,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
14,Build MOU Generator & Opportunity Finder UIs,Task,"Implement MouGenerator.jsx step-by-step drafting form with download options, and OpportunityFinder.jsx recommendation cards connecting startups to matching programs.",Medium,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
15,Setup Outreach Automation Base,Task,"Create OutreachAutomation.jsx, supporting Google OAuth flow authorization, Gmail/Calendar client integration parameters, email trigger, and IMAP reply-checking background loops.",High,Done,,Ecosystem Ingestion Pipeline,2026-06-26,2026-06-26
16,MongoDB Core Integration & UI Enhancements,Epic,"Integrate MongoDB persistence into the database layer, build query adapter wrappers, support database fallbacks, and optimize individual UI views.",Medium,Done,Enterprise Database Integration,,2026-06-27,2026-06-30
